Settore Ateco 2025;Divisione Ateco 2025;30/04/2025;31/05/2025
A Agricoltura, silvicoltura e pesca;A 01 Produzioni vegetali e animali, caccia e servizi connessi;651677;651776
A Agricoltura, silvicoltura e pesca;A 02 Silvicoltura e utilizzo di aree forestali;11234;11227
A Agricoltura, silvicoltura e pesca;A 03 Pesca e acquacoltura;11145;11110
A Agricoltura, silvicoltura e pesca;TOTALE;674056;674113
B Attivita' estrattive;B 05 Estrazione di carbone e lignite;7;7
B Attivita' estrattive;B 06 Estrazione di petrolio greggio e gas naturale;36;36
B Attivita' estrattive;B 07 Estrazione di minerali metalliferi;12;12
B Attivita' estrattive;B 08 Altre attivita' estrattive;2406;2403
B Attivita' estrattive;B 09 Attivita' dei servizi di supporto all'estrazione;90;89
B Attivita' estrattive;TOTALE;2551;2547
C Attivita' manifatturiere;C 10 Produzione di prodotti alimentari;54204;54183
C Attivita' manifatturiere;C 11 Produzione di bevande;3734;3732
C Attivita' manifatturiere;C 12 Produzione di prodotti del tabacco;24;24
C Attivita' manifatturiere;C 13 Fabbricazione di tessili;12619;12601
C Attivita' manifatturiere;C 14 Fabbricazione di articoli di abbigliamento;38857;38863
C Attivita' manifatturiere;C 15 Fabbricazione di pelli e cuoi e articoli in pelle e simili di altri materiali;16377;16325
C Attivita' manifatturiere;C 16 Produzione e lavorazione del legno e dei prodotti a base di legno e sughero, esclusi i mobili - fabbricazione di articoli in paglia e materiale da intreccio;26337;26311
C Attivita' manifatturiere;C 17 Fabbricazione di carta e di prodotti di carta;3591;3589
C Attivita' manifatturiere;C 18 Stampa e riproduzione di supporti registrati;14294;14284
C Attivita' manifatturiere;C 19 Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio;314;314
C Attivita' manifatturiere;C 20 Fabbricazione di prodotti chimici;5404;5398
C Attivita' manifatturiere;C 21 Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici;622;620
C Attivita' manifatturiere;C 22 Fabbricazione di prodotti in gomma e in materie plastiche;10215;10193
C Attivita' manifatturiere;C 23 Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi;20200;20195
C Attivita' manifatturiere;C 24 Fabbricazione di metalli di base;3101;3091
